iteration,dataset,model,noise_model,Accuracy,Precision,Recall,F1,ROC AUC,Min number of executions,Avg number of executions,Max number of executions,Classification time[s],Min time per forward pass[s],Avg time per forward pass[s],Max time per forward pass[s]
2,C,Z,Basic,0.5964912280701754,0.6666666666666666,0.704225352112676,0.684931506849315,0.5614150016377333,1,3.8771929824561404,22,21.255555373998504,0.04029999699923792,0.18643373924574566,1.0000268180010607
3,C,Z,Basic,0.5789473684210527,0.6716417910447762,0.6338028169014085,0.6521739130434783,0.5610874549623321,1,3.9649122807017543,17,20.60848419299873,0.04026030100067146,0.18075950607881328,0.721288923999964
4,C,Z,Basic,0.5964912280701754,0.6712328767123288,0.6901408450704225,0.6805555555555556,0.5660006550933507,1,3.2017543859649122,12,17.604981625998334,0.04018860100040911,0.15441308970172,0.5707093000019086
5,C,Z,Basic,0.5,0.6206896551724138,0.5070422535211268,0.5581395348837209,0.49770717327219127,1,3.43859649122807,14,18.51518563799982,0.040302100002008956,0.1623970441930093,0.7514525990009133
6,C,Z,Basic,0.5526315789473685,0.6515151515151515,0.6056338028169014,0.6277372262773723,0.5353750409433344,1,3.982456140350877,26,20.73596488700059,0.040124298997398,0.18187669023660546,1.2107231940026395
7,C,Z,Basic,0.5701754385964912,0.671875,0.6056338028169014,0.6370370370370371,0.5586308548968228,1,4.12280701754386,24,24.161440285002755,0.04020020000098157,0.21192406653522325,1.085193304999848
8,C,Z,Basic,0.5964912280701754,0.6923076923076923,0.6338028169014085,0.6617647058823529,0.5843432689158206,1,3.3947368421052633,17,17.91843267800141,0.039874400001281174,0.15716132612301167,0.7306908989994554
9,C,Z,Basic,0.6140350877192983,0.7014925373134329,0.6619718309859155,0.6811594202898551,0.5984277759580741,1,4.043859649122807,20,22.11145447599847,0.04248880000159261,0.19394265329838004,0.9556077989982441
10,C,Z,Basic,0.5526315789473685,0.6351351351351351,0.6619718309859155,0.6482758620689655,0.5170324271208647,1,3.736842105263158,13,20.00331143099902,0.040515400000003865,0.17545113711419522,0.6503559970005881
11,C,Z,Basic,0.5350877192982456,0.65,0.5492957746478874,0.5954198473282443,0.5304618408123158,1,3.5526315789473686,21,20.23046453600182,0.040217598998424364,0.17744103014053525,1.0674874040014402
12,C,Z,Basic,0.45614035087719296,0.5737704918032787,0.49295774647887325,0.5303030303030303,0.4441532918440878,1,2.8771929824561404,14,17.715763449003134,0.04180679999990389,0.15538193113146312,0.8800535970003693
13,C,Z,Basic,0.5701754385964912,0.6571428571428571,0.647887323943662,0.6524822695035462,0.5448738945299705,1,3.8771929824561404,17,19.992724458999874,0.0412133999998332,0.17535702683352083,0.7887502929988841
14,C,Z,Basic,0.543859649122807,0.6376811594202898,0.6197183098591549,0.6285714285714286,0.5191614805109728,1,3.745614035087719,13,19.971679153000878,0.03898260000278242,0.17517310397357633,0.6851576949993614
